1|Assalto alla Banca Popolare di Fiume|1909|52 min|Action, Crime||
2|Attack on the Gold Escort|1911|52 min|Action, Drama|4.0|Nothing got the Aussie adrenalin flowing in the early 1900's than some serious gold-fields drama.
3|The Sepoy Rebellion|1912|52 min|Action||
4|Cooee and the Echo|1912|52 min|Action, Adventure|5.2|
5|Who Will Marry Mary?|1913|52 min|Action, Adventure|5.3|
6|Spionul|1913|52 min|Action||
7|Das Recht auf Dasein|1913|52 min|Action, Drama|5.8|An ex-convict is believed guilty of having attacked a woman, when in fact he tried to help her. Escaping the police he ends in a physician's practice where they meet again, only she became amnesic and cannot recognize him.
8|Protéa|1913|52 min|Action, Crime, Mystery|6.1|A female spy, Protéa, embarks on a dangerous mission to retrieve a document treaty.
9|Zigomar, peau d'anguille - Épisode 1: La résurrection de Zigomar|1913|52 min|Action, Thriller|5.9|Paulin Broquet, the great Parisian detective, has brought the notorious bandit, Zigomar, to justice. Determined not to let the law punish him, he had taken poison in the Hall of Justice. Then he was brought to a hospital where he lay motionless and was visited by hundreds of persons. Among the visitors was a slender woman, dressed in black, who secreted herself in the hospital, and, when all the others had gone, went to the bedside of Zigomar and administered an antidote for poisoning. She was none other than La Rosario, the accomplice of Zigomar. Almost instantaneous with the administering of the antidote, Zigomar opened his eyes and sprang from the bier. They were about to leave the room when the surgeon entered to take a portion of the skin from the bandit's arm, which was all the great detective desired as a recompense for the capture of Zigomar. But he was quickly pounced upon, gagged and placed upon the bier where he was found the next morning by the detective. Later the bandit set a trap for the infuriated Broquet into which he unsuspectingly fell. When the detective was in this predicament, Zigomar offered him $250,000 if he would let him alone. Not acquiescing in this, Zigomar then thrust his captive into an iron cage where he would have starved to death had it not been for the timely rescue by his lieutenant.
10|Cameo Kirby|1914|52 min|Action, Drama, Romance||"""Cameo"" Kirby, so called because of his fondness for cameos, is the son of a New Orleans plantation owner who dies insolvent. When the plantation and slaves are sold at auction, Cameo's favorite body-servant is bought at auction by one of his father's friends, John Randall. John and Kirby head north on a Mississippi river boat where Randall meets Colonel Moreau. There he loses heavily on a wager and consents to a game of poker hoping to get back his losses. Kirby, through his friendship with another gambler, is adept at the manipulation of cards and suspects that Moreau is not an honest player. He joins the game and soon Randall, having lost all of his money, wagers the old homestead. Kirby wins the hand and Moreau accuses him of cheating while Randall, unappreciative of the fact that Kirby won the hand to keep Randall's estate falling into Moreau's hands, shoots himself. When his body is taken ashore, Kirby meets Randall's daughter, Adele, and instantly falls in love with her. But Kirby is on very shaky ground as he is known as the man who caused Adele's father to commit suicide, and she treats him to some southern disdain. Her brother, Tom, vows to take revenge on Kirby. He and Moreau have an un-witnessed duel and Colonel is shot dead by Kirby, who is somewhat of a dead shot among his many other talents. But Tom takes the gun from Moreau's hand so it will appear he was unarmed. Kirby, slave-owner becomes a fugitive from justice. This also deals a blow to his courtship of Adele. But, a true-blue southern gentleman such as Kirby should be able to win the day, sooner or later."
11|The Exploits of Elaine|1914|52 min|Action|6.5|With the help of a private detective, Elaine tries to catch the masked criminal mastermind The Clutching Hand, who has murdered her father.
12|The Hazards of Helen|1914|52 min|Action|6.9|
13|The Life of General Villa|1914|52 min|Action, Adventure, Biography|6.5|The life and career of Panccho Villa from young man to revolutionary leader is chronicled.
14|Lucille Love: The Girl of Mystery|1914|52 min|Action|5.9|Episode 1: Hugo Loubeque and Sumpter Love are cadets at West Point. Both love the same woman. Loubeque is expelled from the institution for theft from his fellow cadets. The principal ...                See full synopsis »
15|The Master Key|1914|52 min|Action, Adventure, Drama|4.9|"Episode 1: ""Gold Madness"" Two mining prospectors. James Gallon and his partner, Wilkerson, in a temporary camp, have been searching for gold. Gallon has made a lucky strike and has tried to...                See full synopsis »"
16|The Perils of Pauline|1914|52 min|Action, Adventure, Drama|6.3|"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take possession of her inheritance. Meanwhile, her ""guardian"" and his confederates constantly come up with schemes to get rid of Pauline so that he can get his hands on the money himself."
17|Rose of the Rancho|1914|52 min|Action, Adventure, Romance|3.0|"Esra Kincaid takes land by force and, having taken the Espinoza land, his sights are set on the Castro rancho. US government agent Kearney holds him off till the cavalry shows up and he can declare his love for Juanita ""The Rose of the Rancho."""
18|The Squaw Man|1914|52 min|Action, Drama, Romance|5.7|A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.
19|Stuart Webbs: Das Panzergewölbe|1914|52 min|Action, Crime||
20|Stuart Webbs: Der Mann im Keller|1914|52 min|Action, Crime, Drama||
21|Salainen perintömääräys|1914|52 min|Action, Crime, Thriller||
22|Cetatea Neamtului|1914|52 min|Action, Biography, Drama||"Several Moldavians (""plaiesi"") defend the Neamt Citadel against the whole army of Sobieski, the King of Poland."
23|The Siege and Fall of the Alamo|1914|52 min|Action, War||An account of the battle of the Alamo in San Antonio, Texas, during the Texan War of Independence against Mexico in 1836.
24|Across the Danger Line|1914|52 min|Action||
25|Sein Rekordflug|1914|52 min|Action, Drama||
26|Captain Courtesy|1915|52 min|Action, Drama, History||"In 1840, while California is ruled by Mexico, American settlers are in constant danger from Mexican marauders. After a band of Mexican soldiers led by American renegade George Granville kill the parents of Leonardo Davis, he vows vengeance and begins a career as a masked highwayman who terrorizes the Mexican offenders. Because Leonardo gives his plunder to those Americans who have been robbed, and he protects the women, children, poor, and helpless from attacks, he becomes known as ""Captain Courtesy."" At the San Fernando Mission, Leonardo falls in love with Eleanor, the orphaned ward of Father Reinaldo. For Eleanor's sake, Leonard renounces his mission of vengeance and joins the California Riflemen. When Granville learns about a cache of gold hidden at the Mission, he organizes an attack. Leonardo crashes through the stained glass window on his horse and rides to General Stephen Kearny's troops encamped in Los Angeles, who then rout the Mexicans. When Granville boldly admits that he slew the Davises, Leonardo fights him, but Eleanor persuades him to spare Granville's life."
27|The Chalice of Courage|1915|52 min|Action, Drama, Romance||Fearing James Armstrong, a former suitor, Louise Newbold. accompanies her husband William on a trip to the Colorado Rockies. While riding a mountain trail, Louise and her horse fall over a high cliff. Her injuries are so severe that she begs her husband to kill her to end her suffering, and, out of love, he does so. And blames Armstrong for being the instrument that drove Louise to take the dangerous trip. Five years later, Armstrong meets Enid Maitland and falls in love with her, and they go on a camping trip with several acquaintances. While out fishing, Enid is caught in a sudden violent storm and is rescued by a mountain-man...William Newbold who has become a recluse. But the snow is imprisons them in his camp for the winter. The spring thaw brings Armstrong and others searching for Enid, and Newbold recognizes Armstrong as his old enemy.
28|The Iron Strain|1915|52 min|Action, Adventure, Romance|4.1|
